title,title_id,imdb_id,content_rating,release_date,Action_Adventure,Animation,Comedy,SciFi_Fantasy,Drama,Family,Mystery_Crime,Bio_History,Horror_Thriller,Romance
Ghostbusters: Frozen Empire,1255,tt21235248,PG-13,2024-03-22,1.0,0,1,1.0,0,0,0.0,0.0,0.0,0
Late Night with the Devil,1253,tt14966898,R,2024-03-22,0.0,0,0,0.0,0,0,0.0,0.0,1.0,0
Palm Royale,1252,tt8888540,TV-MA,2024-03-20,0.0,0,1,0.0,1,0,0.0,0.0,0.0,0
Love Lies Bleeding,1251,tt19637052,R,2024-03-15,1.0,0,0,0.0,0,0,1.0,0.0,0.0,0
Arthur the King,1250,tt10720352,PG-13,2024-03-15,1.0,0,0,0.0,1,0,0.0,0.0,0.0,0
Imaginary,1249,tt26658104,PG-13,2024-03-08,0.0,0,0,0.0,0,0,1.0,0.0,1.0,0
Kung Fu Panda 4,1248,tt21692408,PG,2024-03-08,1.0,1,0,0.0,0,0,0.0,0.0,0.0,0
Knox Goes Away,1247,tt20115766,R,2024-03-05,0.0,0,0,0.0,0,0,1.0,0.0,1.0,0
Problemista,1246,tt15078804,R,2024-03-01,0.0,0,1,0.0,0,0,0.0,0.0,0.0,0
Dune: Part Two,1245,tt15239678,PG-13,2024-03-01,1.0,0,0,0.0,1,0,0.0,0.0,0.0,0
Drive-Away Dolls,1244,tt19356262,R,2024-02-23,1.0,0,1,0.0,0,0,0.0,0.0,1.0,0
Bob Marley: One Love,1243,tt8521778,PG-13,2024-02-14,0.0,0,0,0.0,1,0,0.0,1.0,0.0,0
The Movie Emperor,1242,tt28488862,,2024-02-10,0.0,0,1,0.0,1,0,0.0,0.0,0.0,0
Lisa Frankenstein,1241,tt21188080,PG-13,2024-02-09,0.0,0,1,0.0,0,0,0.0,0.0,1.0,1
The Taste of Things,1240,tt19760052,PG-13,2024-02-09,0.0,0,0,0.0,1,0,0.0,1.0,0.0,1
The End We Start From,1239,tt21810682,R,2024-01-19,0.0,0,0,0.0,1,0,0.0,0.0,1.0,0
Millers Girl,1237,tt8310486,R,2024-01-16,0.0,0,1,0.0,1,0,0.0,0.0,1.0,0
The Book of Clarence,1236,tt22866358,PG-13,2024-01-12,1.0,0,1,0.0,1,0,0.0,0.0,0.0,0
The Beekeeper,1234,tt15314262,R,2024-01-12,1.0,0,0,0.0,0,0,1.0,0.0,1.0,0
Night Swim,1233,tt9682428,PG-13,2024-01-05,0.0,0,0,0.0,0,0,1.0,0.0,1.0,0
Ferrari,1232,tt3758542,R,2023-12-25,0.0,0,0,0.0,1,0,0.0,1.0,0.0,0
The Iron Claw,1231,tt21064584,R,2023-12-22,0.0,0,0,0.0,1,0,0.0,1.0,0.0,0
All of Us Strangers,1230,tt21192142,R,2023-12-22,0.0,0,0,0.0,1,0,0.0,0.0,0.0,1
Anyone But You,1229,tt26047818,R,2023-12-22,0.0,0,1,0.0,0,0,0.0,0.0,0.0,1
Migration,1228,tt6495056,PG,2023-12-22,1.0,1,1,0.0,0,0,0.0,0.0,0.0,0
American Fiction,1227,tt23561236,R,2023-12-15,0.0,0,1,0.0,1,0,0.0,0.0,0.0,0
